Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Fully_Equipped_Kitchen,Province,Municipality,Price_Group,Price_Group_Per_Region
645000.0,1410,HOUSE,HOUSE,GOOD,3.0,True,Waals-Brabant,Waterloo,550000-750000,Waals-Brabant_550000-750000
299500.0,9230,HOUSE,HOUSE,TO_RENOVATE,4.0,False,Oost-Vlaanderen,Wetteren,200000-350000,Oost-Vlaanderen_200000-350000
199000.0,4100,HOUSE,HOUSE,JUST_RENOVATED,4.0,False,Luik,Seraing,100000-200000,Luik_100000-200000
850000.0,8300,APARTMENT,APARTMENT,JUST_RENOVATED,3.0,False,West-Vlaanderen,Westkapelle,750000-950000,West-Vlaanderen_750000-950000
345000.0,9940,HOUSE,HOUSE,TO_BE_DONE_UP,4.0,False,Oost-Vlaanderen,Sleidinge,200000-350000,Oost-Vlaanderen_200000-350000
229000.0,2350,APARTMENT,SERVICE_FLAT,AS_NEW,1.0,False,Antwerpen,Vosselaar,200000-350000,Antwerpen_200000-350000
229000.0,2550,HOUSE,HOUSE,TO_RENOVATE,3.0,False,Antwerpen,Waarloos,200000-350000,Antwerpen_200000-350000
525100.0,9404,HOUSE,HOUSE,GOOD,3.0,False,Oost-Vlaanderen,Aspelare,350000-550000,Oost-Vlaanderen_350000-550000
195000.0,2610,APARTMENT,FLAT_STUDIO,JUST_RENOVATED,1.0,False,Antwerpen,Wilrijk,100000-200000,Antwerpen_100000-200000
235000.0,1120,APARTMENT,APARTMENT,GOOD,2.0,False,Brussel,Neder-Over-Heembeek,200000-350000,Brussel_200000-350000
360000.0,4190,HOUSE,HOUSE,GOOD,4.0,False,Luik,Xhoris,350000-550000,Luik_350000-550000
650000.0,1410,HOUSE,HOUSE,GOOD,3.0,True,Waals-Brabant,Waterloo,550000-750000,Waals-Brabant_550000-750000
370000.0,8430,APARTMENT,APARTMENT,GOOD,2.0,False,West-Vlaanderen,Middelkerke,350000-550000,West-Vlaanderen_350000-550000
495000.0,6720,HOUSE,EXCEPTIONAL_PROPERTY,AS_NEW,3.0,True,Luxemburg,Hachy,350000-550000,Luxemburg_350000-550000
230000.0,8550,HOUSE,HOUSE,GOOD,4.0,False,West-Vlaanderen,Zwevegem,200000-350000,West-Vlaanderen_200000-350000
365000.0,9060,APARTMENT,APARTMENT,GOOD,2.0,False,Oost-Vlaanderen,Zelzate,350000-550000,Oost-Vlaanderen_350000-550000
359000.0,2140,HOUSE,HOUSE,GOOD,2.0,False,Antwerpen,Borgerhout,350000-550000,Antwerpen_350000-550000
220000.0,5170,APARTMENT,APARTMENT,JUST_RENOVATED,2.0,False,Namen,Rivière,200000-350000,Namen_200000-350000
195000.0,1470,HOUSE,HOUSE,TO_RENOVATE,2.0,False,Waals-Brabant,Genappe,100000-200000,Waals-Brabant_100000-200000
320000.0,9500,APARTMENT,APARTMENT,AS_NEW,2.0,False,Oost-Vlaanderen,Zarlardinge,200000-350000,Oost-Vlaanderen_200000-350000
