Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
395000,8560,HOUSE,HOUSE,GOOD,3,141.0,0,0.0,0.0,297.0,2.0,0.0,0.0,Wevelgem,Other
165000,9100,HOUSE,HOUSE,TO_RENOVATE,3,121.0,0,0.0,0.0,225.0,2.0,0.0,0.0,Sint-Niklaas,East Flanders
169000,1060,APARTMENT,DUPLEX,GOOD,1,50.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Saint-Gilles,Brussels Capital
269000,8400,HOUSE,HOUSE,GOOD,3,162.0,0,0.0,0.0,134.0,2.0,0.0,0.0,Oostende,Other
418000,2800,APARTMENT,APARTMENT,AS_NEW,1,92.0,0,1.0,0.0,0.0,3.0,0.0,1.0,Mechelen,Antwerp
295000,8760,APARTMENT,APARTMENT,GOOD,2,129.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Meulebeke,Other
349000,4840,HOUSE,HOUSE,GOOD,4,134.0,0,1.0,0.0,500.0,3.0,0.0,0.0,Welkenraedt,Liège
245000,1370,APARTMENT,DUPLEX,AS_NEW,2,90.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Jodoigne,Walloon Brabant
549000,2020,HOUSE,APARTMENT_BLOCK,TO_BE_DONE_UP,4,118.0,0,0.0,0.0,182.0,4.0,0.0,0.0,Antwerpen,Antwerp
525000,2000,APARTMENT,DUPLEX,AS_NEW,3,128.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
90000,5300,HOUSE,HOUSE,TO_RENOVATE,2,90.0,0,0.0,0.0,156.0,2.0,0.0,0.0,Andenne,Namur
287500,8370,APARTMENT,APARTMENT,GOOD,2,116.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Blankenberge,Other
125000,9500,HOUSE,HOUSE,TO_RENOVATE,3,130.0,0,0.0,0.0,110.0,2.0,0.0,0.0,Geraardsbergen,East Flanders
229000,9320,HOUSE,HOUSE,TO_RENOVATE,3,188.0,0,1.0,0.0,346.0,2.0,0.0,0.0,Aalst,East Flanders
135000,7180,APARTMENT,DUPLEX,TO_BE_DONE_UP,2,80.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Seneffe,Hainaut
249000,1070,APARTMENT,APARTMENT,GOOD,2,84.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Anderlecht,Brussels Capital
199000,1070,APARTMENT,APARTMENT,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Anderlecht,Brussels Capital
179000,2600,APARTMENT,GROUND_FLOOR,TO_RENOVATE,2,84.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Antwerpen,Antwerp
495000,9000,APARTMENT,DUPLEX,AS_NEW,2,108.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders
585000,9000,APARTMENT,APARTMENT,GOOD,2,110.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders
297000,4000,APARTMENT,APARTMENT,TO_RENOVATE,4,184.0,0,0.0,0.0,0.0,3.0,0.0,1.0,Liège,Liège
145000,5500,HOUSE,APARTMENT_BLOCK,GOOD,3,138.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Dinant,Namur
230000,8400,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
230000,8400,APARTMENT,APARTMENT,GOOD,2,85.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
245000,8870,HOUSE,HOUSE,TO_RENOVATE,3,246.0,0,0.0,0.0,315.0,3.0,0.0,0.0,Izegem,Other
280000,2500,APARTMENT,DUPLEX,AS_NEW,4,107.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Lier,Antwerp
150000,6180,HOUSE,HOUSE,GOOD,2,140.0,0,1.0,0.0,303.0,2.0,0.0,0.0,Courcelles,Hainaut
524987,9800,HOUSE,HOUSE,GOOD,4,213.0,0,0.0,0.0,362.0,3.0,0.0,0.0,Deinze,East Flanders
299000,8870,HOUSE,HOUSE,GOOD,4,273.0,0,1.0,0.0,207.0,3.0,0.0,0.0,Izegem,Other
296900,2300,APARTMENT,APARTMENT,GOOD,2,90.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Turnhout,Antwerp
285000,2230,HOUSE,HOUSE,GOOD,3,121.0,0,0.0,0.0,422.0,2.0,0.0,0.0,Herselt,Antwerp
30000,4000,APARTMENT,APARTMENT,AS_NEW,2,94.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Liège,Liège
85000,3000,APARTMENT,FLAT_STUDIO,AS_NEW,1,17.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Leuven,Flemish Brabant
235000,2950,APARTMENT,APARTMENT,GOOD,2,134.0,0,1.0,0.0,0.0,3.0,0.0,0.0,Kapellen,Antwerp
