Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Surface_of_the_Land,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift,province,Municipality
397000.0,9000,APARTMENT,PENTHOUSE,,2.0,,False,,,1.0,21.0,,,,,,,,,Oost-Vlaanderen,Gent
449000.0,9870,HOUSE,HOUSE,GOOD,5.0,208.0,False,0.0,,,,1.0,208.0,208.0,345.0,,,,,Oost-Vlaanderen,Zulte
225000.0,5670,HOUSE,HOUSE,,4.0,180.0,False,,,,,,,,8795.0,,,,,Namen,Vierves-Sur-Viroin
239000.0,1070,APARTMENT,APARTMENT,GOOD,2.0,95.0,False,,,1.0,5.0,,,,,2.0,,,,Brussel,Anderlecht
465000.0,8340,APARTMENT,APARTMENT,GOOD,3.0,114.0,False,0.0,,1.0,190.0,,,,,,,,,West-Vlaanderen,Sijsele
170000.0,3290,APARTMENT,APARTMENT,TO_BE_DONE_UP,2.0,80.0,False,,,1.0,3.0,,,,,2.0,,,,Vlaams-Brabant,Webbekom
169900.0,4020,HOUSE,APARTMENT_BLOCK,TO_BE_DONE_UP,6.0,,False,0.0,,1.0,,,,,124.0,2.0,0.0,0.0,0.0,Luik,Wandre
,9140,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,Oost-Vlaanderen,Tielrode
337000.0,1140,APARTMENT,APARTMENT,AS_NEW,1.0,69.0,True,0.0,,1.0,2.0,,,,,2.0,0.0,1.0,1.0,Brussel,Evere
745000.0,8420,HOUSE,HOUSE,TO_RENOVATE,7.0,235.0,False,0.0,,,,,,,399.0,,,,,West-Vlaanderen,Wenduine
,1000,APARTMENT_GROUP,APARTMENT_GROUP,,,,False,,,,,,,,,,,,,Brussel,Brussel
209000.0,4020,HOUSE,TOWN_HOUSE,AS_NEW,2.0,124.0,True,0.0,,1.0,30.0,1.0,50.0,50.0,193.0,2.0,0.0,0.0,0.0,Luik,Wandre
585000.0,1651,HOUSE,VILLA,AS_NEW,4.0,222.0,True,0.0,,1.0,19.0,,,,0.0,,,,,Vlaams-Brabant,Lot
310000.0,3000,APARTMENT,APARTMENT,GOOD,2.0,90.0,False,,,,,,,,,,,,,Vlaams-Brabant,Leuven
200000.0,1370,APARTMENT,APARTMENT,,2.0,82.0,False,,,1.0,,,,,,3.0,,,,Waals-Brabant,Zétrud-Lumay
349000.0,1200,APARTMENT,APARTMENT,GOOD,4.0,131.0,False,0.0,,1.0,2.0,,,,,2.0,0.0,1.0,1.0,Brussel,Sint-lambrechts-woluwe
425000.0,1350,HOUSE,VILLA,AS_NEW,3.0,200.0,True,,,1.0,,1.0,371.0,371.0,371.0,4.0,0.0,,0.0,Waals-Brabant,Orp-Le-Grand
490000.0,8300,APARTMENT,APARTMENT,GOOD,2.0,87.0,False,0.0,,1.0,7.0,,,,,2.0,,0.0,1.0,West-Vlaanderen,Westkapelle
595000.0,2290,HOUSE,HOUSE,AS_NEW,3.0,280.0,False,,,1.0,,,,,1407.0,4.0,,,,Antwerpen,Vorselaar
230000.0,1830,HOUSE,HOUSE,GOOD,3.0,,False,,,,,,,,220.0,2.0,,0.0,0.0,Vlaams-Brabant,Machelen
159500.0,2100,APARTMENT,APARTMENT,,1.0,,False,,,,,,,,,,,,,Antwerpen,Deurne
699000.0,2000,APARTMENT,APARTMENT,AS_NEW,2.0,190.0,False,,,,,1.0,80.0,80.0,,,,,,Antwerpen,Antwerpen
1345000.0,8300,APARTMENT,APARTMENT,JUST_RENOVATED,3.0,121.0,False,1.0,,,,,,,,,,,1.0,West-Vlaanderen,Westkapelle
105000.0,8790,APARTMENT,APARTMENT,GOOD,1.0,40.0,False,,,1.0,,,,,,,,,,West-Vlaanderen,Waregem
479000.0,3090,HOUSE,HOUSE,,2.0,138.0,False,0.0,,,,,,,582.0,3.0,0.0,0.0,0.0,Vlaams-Brabant,Overijse
890000.0,1000,HOUSE,EXCEPTIONAL_PROPERTY,AS_NEW,5.0,267.0,True,0.0,,1.0,22.0,1.0,50.0,50.0,109.0,2.0,,0.0,0.0,Brussel,Brussel
2000000.0,2930,HOUSE,VILLA,AS_NEW,3.0,791.0,True,,,1.0,,,,,2800.0,4.0,1.0,,,Antwerpen,Brasschaat
229000.0,1050,APARTMENT,APARTMENT,,1.0,61.0,False,0.0,,,,,,,,2.0,0.0,0.0,0.0,Brussel,Elsene
349000.0,8400,APARTMENT,APARTMENT,GOOD,3.0,118.0,False,,,1.0,8.0,,,,,,,,1.0,West-Vlaanderen,Zandvoorde
425000.0,1050,APARTMENT,APARTMENT,AS_NEW,2.0,86.0,True,1.0,,1.0,9.0,,,,,2.0,0.0,1.0,1.0,Brussel,Elsene
346000.0,8501,HOUSE,HOUSE,GOOD,5.0,247.0,False,0.0,,,,,,,439.0,,,,,West-Vlaanderen,Heule
398000.0,8300,APARTMENT,APARTMENT,GOOD,1.0,53.0,False,0.0,,1.0,,,,,,2.0,,,1.0,West-Vlaanderen,Westkapelle
195000.0,8930,APARTMENT,APARTMENT,GOOD,2.0,,True,0.0,,1.0,,,,,,,0.0,1.0,1.0,West-Vlaanderen,Rekkem
360000.0,8430,APARTMENT,APARTMENT,GOOD,2.0,63.0,False,1.0,,1.0,,,,,,,,,1.0,West-Vlaanderen,Middelkerke
