Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region
238000,7100,HOUSE,HOUSE,GOOD,3,154.0,1,1.0,1.0,261.0,2.0,0.0,0.0,La Louvière,Hainaut,Wallonia
252500,9270,HOUSE,HOUSE,TO_RENOVATE,2,115.0,0,1.0,1.0,570.0,3.0,0.0,0.0,Laarne,East Flanders,Flanders
139000,8430,APARTMENT,APARTMENT,GOOD,1,30.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other,Other
319500,4570,HOUSE,HOUSE,AS_NEW,3,136.0,1,1.0,1.0,415.0,2.0,0.0,0.0,Marchin,Liège,Wallonia
387993,1800,APARTMENT,APARTMENT,AS_NEW,2,117.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Vilvoorde,Flemish Brabant,Flanders
115000,8870,HOUSE,HOUSE,TO_RENOVATE,2,128.0,0,0.0,0.0,93.0,3.0,0.0,0.0,Izegem,Other,Other
299000,3800,APARTMENT,APARTMENT,GOOD,2,90.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Sint-Truiden,Limburg,Wallonia
138500,9300,APARTMENT,APARTMENT,GOOD,2,76.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Aalst,East Flanders,Flanders
180000,6920,HOUSE,HOUSE,TO_RENOVATE,4,172.0,0,0.0,1.0,588.0,3.0,0.0,0.0,Wellin,Luxembourg,Wallonia
220000,1020,APARTMENT,APARTMENT,TO_RENOVATE,3,100.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Bruxelles,Brussels Capital,Bruxelles-Capital
230000,4520,APARTMENT,APARTMENT,GOOD,1,77.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Wanze,Liège,Wallonia
169000,3300,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,101.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Tienen,Other,Other
130000,5100,APARTMENT,APARTMENT,GOOD,1,45.0,0,0.0,0.0,0.0,3.0,0.0,0.0,Namur,Namur,Wallonia
