Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift
639000,8000,HOUSE,HOUSE,AS_NEW,3,172.0,0,1.0,0.0,160.0,4.0,0.0,0.0
195000,8000,APARTMENT,APARTMENT,TO_RENOVATE,2,92.0,0,0.0,0.0,0.0,2.0,0.0,1.0
139000,5500,APARTMENT,GROUND_FLOOR,JUST_RENOVATED,1,66.0,0,0.0,0.0,0.0,2.0,0.0,1.0
335000,1050,APARTMENT,APARTMENT,GOOD,1,79.0,0,1.0,0.0,0.0,2.0,0.0,1.0
385000,8552,HOUSE,HOUSE,GOOD,3,143.0,0,0.0,0.0,389.0,3.0,0.0,0.0
179000,4000,HOUSE,HOUSE,GOOD,2,145.0,0,1.0,0.0,242.0,2.0,0.0,0.0
349500,8650,HOUSE,HOUSE,GOOD,3,135.0,0,1.0,0.0,336.0,3.0,0.0,0.0
379000,9070,HOUSE,HOUSE,TO_RENOVATE,3,160.0,0,0.0,0.0,550.0,3.0,0.0,0.0
325000,2235,APARTMENT,GROUND_FLOOR,GOOD,2,140.0,0,1.0,0.0,0.0,4.0,0.0,1.0
155000,8400,APARTMENT,APARTMENT,TO_BE_DONE_UP,1,60.0,0,0.0,0.0,0.0,2.0,0.0,1.0
229000,2100,APARTMENT,APARTMENT,GOOD,2,87.0,0,1.0,0.0,0.0,2.0,0.0,1.0
525000,2060,HOUSE,APARTMENT_BLOCK,GOOD,4,192.0,0,0.0,0.0,51.0,3.0,0.0,0.0
220000,9660,APARTMENT,APARTMENT,GOOD,1,93.0,0,0.0,0.0,0.0,2.0,0.0,1.0
750000,1200,HOUSE,TOWN_HOUSE,AS_NEW,4,190.0,0,1.0,0.0,149.0,2.0,0.0,0.0
205000,8660,APARTMENT,APARTMENT,GOOD,1,58.0,0,1.0,0.0,0.0,2.0,0.0,1.0
380000,1780,HOUSE,HOUSE,TO_RENOVATE,3,186.0,0,1.0,0.0,271.0,3.0,0.0,0.0
425000,1440,HOUSE,HOUSE,GOOD,4,181.0,0,0.0,0.0,263.0,3.0,0.0,0.0
180000,1083,APARTMENT,APARTMENT,GOOD,2,69.0,0,1.0,0.0,0.0,4.0,0.0,1.0
215000,9500,HOUSE,HOUSE,JUST_RENOVATED,2,75.0,0,0.0,0.0,43.0,2.0,0.0,0.0
275000,1000,APARTMENT,APARTMENT,AS_NEW,1,60.0,0,0.0,0.0,0.0,2.0,0.0,1.0
375000,9820,APARTMENT,APARTMENT,AS_NEW,2,88.0,0,1.0,0.0,0.0,2.0,0.0,1.0
245000,2300,APARTMENT,APARTMENT,GOOD,3,152.0,0,0.0,0.0,0.0,2.0,0.0,1.0
370000,9960,HOUSE,HOUSE,GOOD,3,158.0,0,0.0,0.0,223.0,3.0,0.0,0.0
179000,8450,APARTMENT,APARTMENT,TO_BE_DONE_UP,2,80.0,0,0.0,0.0,0.0,2.0,0.0,1.0
199900,2060,APARTMENT,APARTMENT,AS_NEW,1,61.0,0,1.0,0.0,0.0,2.0,0.0,1.0
349000,8540,HOUSE,HOUSE,GOOD,3,231.0,0,0.0,0.0,557.0,3.0,0.0,0.0
289000,4880,APARTMENT,APARTMENT,GOOD,3,161.0,0,0.0,0.0,0.0,2.0,0.0,0.0
210000,2100,APARTMENT,APARTMENT,GOOD,3,104.0,0,1.0,0.0,0.0,3.0,0.0,1.0
230000,6150,APARTMENT,APARTMENT,AS_NEW,3,115.0,0,1.0,0.0,0.0,4.0,0.0,1.0
185000,9230,HOUSE,HOUSE,TO_RENOVATE,2,80.0,0,1.0,0.0,80.0,2.0,0.0,0.0
389000,8400,HOUSE,HOUSE,AS_NEW,2,197.0,0,1.0,0.0,165.0,2.0,0.0,1.0
365000,2600,APARTMENT,APARTMENT,GOOD,3,190.0,0,1.0,0.0,0.0,2.0,0.0,1.0
