Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province,Region,Property_Size
210000,8420,APARTMENT,SERVICE_FLAT,AS_NEW,1,55.0,0,1.0,1.0,0.0,2.0,0.0,1.0,De Haan,West Flanders,Flanders,Medium
340000,1000,APARTMENT,APARTMENT,GOOD,2,93.0,0,1.0,0.0,0.0,4.0,0.0,1.0,Saint-Josse-ten-Noode,Brussels Capital,Bruxelles-Capital,Medium
169900,9200,APARTMENT,APARTMENT,GOOD,1,59.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Dendermonde,East Flanders,Flanders,Medium
499500,3130,HOUSE,HOUSE,GOOD,3,153.0,1,0.0,0.0,417.0,3.0,0.0,0.0,Begijnendijk,Flemish Brabant,Flanders,Large
509000,1930,HOUSE,HOUSE,GOOD,4,138.0,0,1.0,1.0,173.0,2.0,0.0,0.0,Zaventem,Flemish Brabant,Flanders,Large
219000,9620,APARTMENT,APARTMENT,AS_NEW,3,100.0,0,1.0,0.0,0.0,2.0,0.0,0.0,Zottegem,East Flanders,Flanders,Medium
124999,9300,APARTMENT,APARTMENT,GOOD,1,48.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Aalst,East Flanders,Flanders,Small
305000,9041,APARTMENT,APARTMENT,AS_NEW,2,88.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Medium
150000,8420,APARTMENT,APARTMENT,TO_RENOVATE,2,66.0,0,0.0,0.0,0.0,2.0,0.0,0.0,De Haan,West Flanders,Flanders,Medium
328000,3290,HOUSE,BUNGALOW,JUST_RENOVATED,2,136.0,0,1.0,0.0,658.0,4.0,0.0,0.0,Diest,Flemish Brabant,Flanders,Large
429250,9030,HOUSE,HOUSE,GOOD,4,157.0,1,1.0,1.0,160.0,3.0,0.0,0.0,Gent,East Flanders,Flanders,Large
425000,9041,HOUSE,HOUSE,TO_BE_DONE_UP,4,194.0,0,1.0,1.0,480.0,4.0,0.0,0.0,Gent,East Flanders,Flanders,Large
485000,1200,APARTMENT,APARTMENT,AS_NEW,2,94.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Woluwe-Saint-Lambert,Brussels Capital,Bruxelles-Capital,Medium
288000,9041,APARTMENT,APARTMENT,AS_NEW,2,83.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Gent,East Flanders,Flanders,Medium
142500,1030,APARTMENT,APARTMENT,GOOD,1,44.0,0,0.0,0.0,0.0,2.0,0.0,0.0,Schaerbeek,Brussels Capital,Bruxelles-Capital,Small
140000,2550,HOUSE,HOUSE,TO_RENOVATE,3,109.0,0,0.0,0.0,70.0,3.0,0.0,0.0,Kontich,Antwerp,Flanders,Large
465000,1050,APARTMENT,APARTMENT,AS_NEW,2,104.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Ixelles,Brussels Capital,Bruxelles-Capital,Large
332500,9320,APARTMENT,DUPLEX,AS_NEW,2,160.0,1,1.0,0.0,0.0,3.0,0.0,0.0,Aalst,East Flanders,Flanders,Large
259000,8870,APARTMENT,APARTMENT,GOOD,2,99.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Izegem,West Flanders,Flanders,Medium
